word,hint
졸업앨범사,졸업 때 만드는 추억 앨범
자전거타기,두 바퀴 자전거를 타는 것
양치질하기,칫솔로 이를 깨끗이 닦는 것
저금통돼지,돼지 모양으로 만든 저금통
이불속파고,따뜻한 이불 속으로 파고드는 것
냉장고열기,냉장고 문을 여는 것
청소기소리,청소기가 작동할 때 나는 소리
세탁기돌리,빨래를 세탁기에 넣고 돌리는 것
택배상자열,택배로 온 상자를 설레며 여는 것
숨바꼭질법,숨어서 찾는 어린이 놀이
술래잡기놀,술래가 친구들을 잡는 놀이
그림그리기,종이에 그림을 그리는 것
퍼즐맞추기,조각을 모아 그림을 완성하는 것
팽이돌리기,팽이를 빙글빙글 돌리는 것
연날리기철,바람 부는 날 연을 높이 날리는 것
블록쌓기놀,블록을 쌓아 만드는 놀이
딱지치기판,딱지를 접어 치는 어린이 놀이
비행기구름,비행기가 지나간 자리에 생기는 구름
자동차경적,자동차의 빵빵 경적 소리
기차여행길,기차를 타고 떠나는 여행
지하철환승,지하철 노선을 갈아타는 것
킥보드달리,킥보드를 타고 신나게 달리는 것
설날아침밥,설날 아침에 먹는 떡국
추석보름달,추석 밤에 뜨는 둥근 보름달
여름방학날,여름에 학교를 쉬는 방학 날
겨울방학날,겨울에 학교를 쉬는 방학 날
봄꽃축제날,봄꽃이 피는 축제를 즐기는 날
어린이날선,어린이날에 받는 선물
할로윈호박,할로윈 때 등장하는 주황색 호박
신나는하루,즐겁고 신나는 하루
행복한웃음,행복할 때 짓는 환한 웃음
두근두근해,설레거나 긴장될 때 심장이 뛰는 것
반가운만남,오랜만에 친구를 만나 반가운 것
따뜻한마음,남을 배려하는 따뜻한 마음
즐거운소풍,야외로 나가는 즐거운 소풍
포근한이불,따뜻하고 포근한 이불
향기로운꽃,좋은 향기가 나는 꽃
깜짝놀라기,예상치 못한 것에 크게 놀라는 것
설레는봄날,봄이 와서 마음이 설레는 날
지렁이꿈틀,지렁이가 꿈틀거리는 모양
무당벌레점,빨간 날개에 검은 점이 있는 곤충
개구리울음,연못에서 개구리가 우는 소리
달팽이뿔을,달팽이가 뿔을 내미는 것
메뚜기뜀박,메뚜기가 뛰어오르는 것
나뭇잎바람,바람에 흔들리는 나뭇잎
솔방울떨어,소나무에서 솔방울이 떨어지는 것
도토리줍기,가을에 도토리를 줍는 것
꽃잎날리기,꽃잎이 바람에 날리는 것
물총놀이터,물총으로 노는 여름 놀이터
눈싸움하기,눈을 뭉쳐 던지는 겨울 놀이
모래성쌓기,모래로 성을 쌓는 것
풍선껌불기,풍선껌으로 풍선을 부는 것
장난감기차,아이들이 갖고 노는 기차 장난감
인형놀이집,인형과 함께 노는 집 놀이
비눗방울날,비눗방울이 날아가는 날
고무줄놀이,고무줄을 이용한 어린이 놀이
공기돌놀이,작은 돌로 하는 전통 놀이
줄넘기하기,줄을 넘는 운동 놀이
달리기연습,빨리 달리기를 연습하는 것
라면끓이기,라면을 냄비에 끓이는 것
계란후라이,계란을 프라이팬에 구운 것
토마토케첩,토마토로 만든 빨간 소스
바나나우유,바나나 맛이 나는 달콤한 우유
초코아이스,초콜릿 맛 아이스크림
딸기케이크,딸기로 장식한 케이크
사탕봉지열,사탕이 든 봉지를 여는 것
과자봉지들,여러 종류의 과자 봉지
아이스크림,차갑고 달콤한 얼음 과자
핫초코한잔,따뜻한 초코 음료 한 잔
미술관그림,미술관에 전시된 그림들
과학관체험,과학관에서 직접 체험하는 것
동물원코끼,동물원에 있는 코끼리
수족관물고,수족관 안을 헤엄치는 물고기
우체통편지,우체통에 편지를 넣는 것
소방서소방,소방서에서 근무하는 소방관
경찰서신고,경찰서에 신고하는 것
약국처방전,약국에서 약을 받는 처방전
운동회달리,학교 운동회에서 달리는 것
소풍도시락,소풍에 가져가는 도시락
방학숙제장,방학 때 해야 하는 숙제 장
국어받아쓰,국어 시간에 받아쓰기를 하는 것
미술시간붓,미술 시간에 사용하는 붓
음악시간노,음악 시간에 노래하는 것
알람소리에,아침에 울리는 알람 소리
거울앞에서,거울 앞에서 모습을 보는 것
칫솔질하기,칫솔로 이를 닦는 것
운동화끈묶,운동화 끈을 묶는 것
우산들고가,비 올 때 우산을 들고 가는 것
장갑끼고서,손에 장갑을 끼는 것
목도리두르,목에 목도리를 두르는 것
모자눌러써,모자를 눌러 쓰는 것
강가조약돌,강가에 있는 작고 둥근 돌
바닷가파도,바닷가에 밀려오는 파도
산속오솔길,산속의 좁고 조용한 길
들판해바라,들판에 핀 해바라기
연못개구리,연못에 사는 개구리
숲속새소리,숲속에서 들리는 새 소리
봄비촉촉이,봄에 내리는 촉촉한 비
여름소나기,여름에 갑자기 내리는 비
가을낙엽길,가을에 낙엽이 쌓인 길
겨울눈사람,겨울에 눈으로 만든 사람
나팔꽃피어,나팔 모양으로 피어나는 꽃
나뭇가지에,나무의 가지 위에 있는 것
나무늘보처,느릿느릿 움직이는 나무늘보처럼
소금쟁이가,물 위를 걷는 곤충
소나무숲속,소나무가 우거진 숲 속
소방차달려,불을 끄러 달려가는 소방차
미끄럼틀타,미끄럼틀을 신나게 타는 것
미술시간에,학교에서 그림을 그리는 시간
미용실가서,머리를 자르러 미용실에 가는 것
바람개비돌,바람에 빙글빙글 도는 바람개비
바닷속물고,바닷속에 사는 물고기
바구니담아,바구니에 물건을 담는 것
비눗방울이,비눗물로 만든 동그란 방울
비행기타고,비행기를 타고 여행하는 것
비오는날에,비가 내리는 날에 하는 것
강아지목욕,강아지를 씻기는 것
강물흐르며,강물이 유유히 흐르는 것
거북이느릿,느릿느릿 걷는 거북이
교과서펴고,교과서를 펼쳐 공부하는 것
냉면한그릇,시원하게 먹는 냉면 한 그릇
냉장고아이,냉장고 안의 시원한 것들
다람쥐뺨에,다람쥐가 뺨에 도토리를 넣은 것
독서삼매경,책 읽기에 완전히 빠진 상태
동물원나들,동물원으로 나들이 가는 것
동화속왕자,동화 속에 나오는 멋진 왕자
망아지뛰어,망아지가 들판을 뛰어다니는 것
망원경으로,먼 곳을 보는 망원경
고드름주렁,처마 끝에 주렁주렁 달린 고드름
고무신한짝,옛날에 신던 고무로 만든 신발
고사리손으,어린아이의 작고 귀여운 손
고추잠자리,빨간색 잠자리
나루터배가,강을 건너는 나루터의 배
낙엽밟는소,가을 낙엽을 밟는 소리
논두렁걸어,논두렁 길을 걸어가는 것
눈썹달빛에,눈썹처럼 가느다란 달
다슬기잡기,냇가에서 다슬기를 잡는 것
단추구멍에,옷의 단추 구멍
달리기선수,빠르게 달리는 육상 선수
담쟁이넝쿨,벽을 타고 자라는 식물
도깨비불빛,밤에 보이는 도깨비불
도시락뚜껑,도시락 상자의 뚜껑
돌멩이던져,돌멩이를 멀리 던지는 것
두꺼비집에,아이들이 모래로 만드는 두꺼비집
두루마리휴,두루마리처럼 감긴 휴지
뚝배기찌개,뚝배기에 끓인 구수한 찌개
라면봉지에,라면이 들어있는 봉지
마당에서뛰,마당에서 신나게 뛰노는 것
마라톤선수,긴 거리를 달리는 선수
막대사탕핥,달콤한 막대사탕을 핥는 것
매미소리가,여름에 들리는 매미 울음소리
머리띠하고,머리에 예쁜 머리띠를 하는 것
모닥불피워,모닥불을 피워 따뜻하게 하는 것
목마를타고,목마를 타고 빙글빙글 도는 것
무릎담요덮,무릎 위에 담요를 덮는 것
물레방아가,물의 힘으로 도는 물레방아
물방울떨어,물방울이 또르르 떨어지는 것
물수제비뜨,강에서 돌로 물수제비를 뜨는 것
민화족자에,전통 민화가 그려진 족자
밀짚모자써,여름에 밀짚모자를 쓰는 것
박물관관람,박물관을 구경하는 것
반딧불잡기,여름밤에 반딧불을 잡는 것
방석위에서,방석 위에 앉아 있는 것
배드민턴공,배드민턴 게임에 쓰는 공
버드나무가,물가에 늘어진 버드나무
벌꿀향기에,달콤한 벌꿀의 향기
벼루먹갈아,벼루에 먹을 갈아 글씨를 쓰는 것
별빛반짝이,밤하늘에 별빛이 반짝이는 것
복숭아나무,복숭아가 열리는 과일나무
봉숭아꽃잎,봉숭아 꽃잎으로 손톱을 물들이는 것
부채바람에,부채로 더위를 식히는 것
분필가루날,칠판에 분필 가루가 날리는 것
붕어빵굽는,겨울에 붕어빵을 굽는 것
비빔냉면에,매콤하게 비빈 냉면
빗물웅덩이,비가 온 뒤 생기는 웅덩이
사과향기가,새콤달콤한 사과의 향기
산책길에서,산책길을 걸으며 즐기는 것
새벽이슬이,이른 아침 풀잎에 맺힌 이슬
색연필로써,색연필로 그림을 그리는 것
생강차한잔,따뜻한 생강차 한 잔
서예붓글씨,붓으로 쓰는 아름다운 글씨
석양빛으로,저녁노을의 붉은 석양빛
선인장꽃이,사막의 선인장에 피는 꽃
세뱃돈받아,설날에 세뱃돈을 받는 것
소시지구이,소시지를 구워서 먹는 것
솔방울줍기,소나무 아래서 솔방울을 줍는 것
수채화그림,수채물감으로 그린 그림
숙제다하고,숙제를 모두 마치고 노는 것
시루떡찌기,시루에 떡을 찌는 것
신발끈묶기,신발 끈을 예쁘게 묶는 것
아파트계단,아파트의 층계
안경닦으며,안경을 닦아 깨끗이 하는 것
어묵국물맛,포장마차 어묵의 국물 맛
연꽃피어라,연못에서 연꽃이 피어나는 것
연필깎으며,연필을 칼로 깎는 것
옥수수밭에,옥수수가 자라는 밭
올챙이헤엄,연못에서 헤엄치는 올챙이
우물가에서,옛날 우물가에서 물을 긷는 것
원두막에서,원두막에서 수박을 먹는 것
잠자리채로,잠자리채를 들고 잠자리를 잡는 것
장독대항아,장독대의 항아리
전래동화책,옛날이야기가 담긴 동화책
제기차기놀,제기를 발로 차는 전통 놀이
조약돌줍기,냇가에서 조약돌을 줍는 것
종이배띄워,종이로 배를 접어 물에 띄우는 것
찰흙빚으며,찰흙으로 모양을 만드는 것
참외먹으며,여름에 참외를 먹는 것
창문열어서,창문을 열어 바람을 맞이하는 것
채소밭가꿔,채소가 자라는 밭을 가꾸는 것
첫눈내리는,그 해 처음으로 눈이 내리는 것
청개구리가,나뭇잎 위에 앉아 있는 청개구리
초가집지붕,볏짚으로 엮은 전통 가옥의 지붕
파란하늘에,맑고 파란 하늘 위에
팥빙수먹기,여름에 팥빙수를 먹는 것
풀잎이슬이,이른 아침 풀잎에 맺힌 이슬
한옥기와집,기와를 얹은 전통 한옥
햇볕따사로,따사로운 햇볕이 비추는 것
허수아비가,논밭의 새를 쫓는 허수아비
호떡기름에,기름에 구운 달콤한 호떡
홍시감처럼,빨갛게 익은 홍시 감처럼
화단꽃밭에,화단에 꽃이 가득 핀 꽃밭
삽으로파는,삽으로 땅을 파는 것
박물관관람,박물관을 구경하는 것
식목일나무,식목일에 나무를 심는 것
쑥개떡향기,쑥으로 만든 개떡의 구수한 향기
