animal_zodiac,kr,fortune,peak_time,peak_tip,low_time,low_tip
rat,쥐띠,정보를 너무 많이 모으다가 정작 결정을 못 하는 날입니다. 지금 아는 것만으로 충분합니다. 80% 파악됐으면 움직여도 됩니다.,오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,"오늘 누군가 내 아이디어를 가져간 느낌이 든다면, 오늘부터 중요한 것은 날짜와 함께 기록해두세요. 쥐띠는 아이디어가 빠른 만큼 선점 타이밍이 중요합니다.",오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,"피곤한데 억지로 사람을 만나야 한다면, 30분 일찍 나와서 혼자 있는 시간을 먼저 만들어두세요. 쥐띠는 준비된 상태의 소통이 훨씬 자연스러운 타입입니다.",오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,"오늘 감정이 복잡하다면 일 먼저 처리하고 감정은 나중에 정리해도 됩니다. 쥐띠는 실행이 먼저인 타입인데, 오늘은 그 순서가 맞습니다.",오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,걷다 보면 막혔던 게 풀리는 타입입니다. 오전에 집중이 안 된다면 10분 밖으로 나가보시기 바랍니다. 책상 앞에서 버티는 것보다 훨씬 빠르게 뚫려요.,오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,오늘 중요한 연락은 오전에 처리하시기 바랍니다. 쥐띠는 오전에 판단력이 가장 날카로운 타입입니다. 오후로 넘기면 고민이 길어져요.,오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,"새로운 루틴을 시작하기 좋은 날입니다. 쥐띠는 패턴을 만들면 빠르게 습관화하는 타입인데, 오늘 아주 작게 시작해도 3일이면 자리를 잡습니다.",오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,"멀티태스킹을 하면 다 흐릿하게 끝나는 날입니다. 쥐띠는 동시에 여러 개를 하고 싶은 충동이 있는 타입인데, 오늘은 하나 끝내고 다음으로 가세요.",오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,"오늘 실수를 크게 분석하는 패턴이 올라올 수 있습니다. 쥐띠는 자기 검열이 강한 타입인데, 오늘 실수는 분석보다 빠른 수정이 답입니다.",오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,"저녁에 피곤해서 식사를 대충 때우려는 날입니다. 쥐띠는 바쁠 때 끼니를 건너뛰는 패턴이 있는데, 오늘 저녁은 제대로 먹는 게 내일 컨디션을 만들습니다.",오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,"오늘 공동 작업이 있다면 역할 분담을 먼저 하시기 바랍니다. 쥐띠는 혼자 다 하려는 경향이 있는데, 오늘은 나눌수록 결과가 좋아지는 날입니다.",오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,계획을 너무 촘촘하게 짜면 하나 어긋날 때 전체가 무너지는 느낌이 들습니다. 오늘은 플랜B 하나를 미리 생각해두세요.,오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,"오늘 말 한 마디에 상대가 예민하게 반응할 수 있습니다. 쥐띠는 직접적인 화법을 쓰는 타입인데, 오늘은 조금만 부드럽게 가져가세요.",오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,"새로운 정보를 얻었다면 오늘 안에 하나의 행동으로 연결하시기 바랍니다. 쥐띠는 정보 모으는 것에 익숙한데, 오늘은 그 정보를 실행으로 전환하는 날입니다.",오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,"오늘 하루 끝에 잘한 것 하나만 생각하고 자세요. 쥐띠는 부족한 것을 더 많이 보는 타입인데, 이미 한 것을 인정해주는 게 내일 에너지를 만들습니다.",오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,"집중이 안 된다면 자리를 바꿔보시기 바랍니다. 쥐띠는 공간 변화에 즉각 반응하는 타입인데, 이동 하나만으로 흐름이 달라질 수 있습니다.",오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,오늘 빠른 결정이 필요한 상황에서 쥐띠의 직감이 가장 정확하게 작동합니다. 너무 오래 고민하지 말고 처음 판단을 따라가세요.,오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,오늘 피로가 쌓여도 내색 못 하는 날입니다. '나 좀 힘들어' 한 마디를 해보시기 바랍니다. 그게 더 편해지는 시작입니다.,오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,오늘 이야기를 전달하기 전에 사실인지 한 번만 확인하시기 바랍니다. 쥐띠는 정보 전달 속도가 빠른 타입이라 출처 확인이 신뢰도를 지켜줘요.,오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,오늘 아이디어가 계속 떠오르는데 실행이 안 따라오는 날입니다. 메모만 해두고 내일 하나 골라서 시작하시기 바랍니다. 재고는 항상 충분한 타입입니다.,오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,오전 중 짧은 산책이 머릿속을 정리해줘요. 쥐띠는 걸으면서 생각이 정리되는 타입입니다. 책상 앞에서 막히면 밖으로 나가보시기 바랍니다.,오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,절약하고 싶은데 쇼핑몰을 열게 되는 날입니다. 장바구니에 담기만 하고 결제는 내일 하시기 바랍니다. 내일 보면 반은 필요 없습니다.,오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,"오늘 혼자 처리하려다 막히는 일이 있다면 한 사람에게 물어보는 게 3배 빠르게 해결됩니다. 쥐띠는 혼자 해결하는 걸 선호하는 타입이지만, 오늘은 예외예요.",오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,"오늘 중요한 대화는 문자보다 목소리로 하시기 바랍니다. 쥐띠는 텍스트를 선호하는 타입인데, 오늘은 뉘앙스가 중요한 이야기라면 전화가 낫습니다.",오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,오늘 여러 개를 잡다가 하나도 못 끝낼 수 있습니다. 시작 전에 오늘 완료할 것 딱 하나를 정해두세요. 그 하나가 오늘의 전부예요.,오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,오늘 퇴근 후 10분 정리가 내일 아침을 바꿔줘요. 쥐띠는 준비된 시작이 하루를 완전히 바꾸는 타입입니다.,오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,"오늘 칭찬을 받으면 더 잘하게 되는 날입니다. 쥐띠는 인정 욕구가 은근히 강한 타입인데, 주변에 먼저 잘한 점을 말해주면 돌아오는 게 있습니다.",오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,오늘 하루 동안 정보를 너무 많이 소화했다면 저녁은 인풋 차단이 필요합니다. 자기 전 30분은 핸드폰을 내려두세요.,오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,"새로운 것을 배우기 좋은 날입니다. 쥐띠는 학습 흡수가 빠른 타입인데, 짧은 영상 하나도 오늘은 충분한 인풋이 됩니다.",오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,"오늘 계획보다 바로 시작하시기 바랍니다. 쥐띠는 완벽한 계획을 원하는 타입인데, 오늘은 시작이 계획보다 중요한 날입니다.",오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,예상치 못한 지출이 생길 수 있습니다. 여유 금액을 조금 빼두는 게 마음을 편하게 해줘요.,오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,오늘 감정이 올라오면 일 먼저 처리하고 나중에 정리하는 순서가 맞습니다. 쥐띠는 실행하면서 감정이 정리되는 타입이습니다.,오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,"오늘 퇴근길에 다른 길로 돌아가 보시기 바랍니다. 쥐띠는 새로운 자극에서 아이디어가 나오는 타입인데, 작은 변화가 큰 생각을 열어줄 수 있습니다.",오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,"오늘 누군가 먼저 연락을 기다리고 있다면, 그냥 먼저 보내세요. 쥐띠는 상대 반응을 먼저 보려는 경향이 있는데, 오늘은 먼저 손 내미는 게 맞습니다.",오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,오늘 하루를 마무리하면서 내일 딱 하나만 정해두세요. 선택지가 많으면 오히려 움직임이 느려지는 타입입니다.,오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,운동이나 가벼운 스트레칭이 오후 집중력을 올려줘요. 쥐띠는 뇌를 많이 쓰는 타입이라 몸을 움직여야 머리가 다시 돌아갑니다.,오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,오늘 아이디어를 종이에 적어두세요. 쥐띠는 메모가 습관화되면 나중에 가장 좋은 자산이 되는 타입입니다.,오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
rat,쥐띠,"오늘도 수고했습니다. 쥐띠는 자신이 얼마나 많은 걸 처리했는지 잘 인식을 못 하는 타입입니다. 오늘 한 것들, 꽤 많습니다.",오전 9시~11시,쥐띠는 오전에 판단력이 가장 날카로워요. 중요한 결정과 연락은 오전에 처리하시기 바랍니다.,오후 2시~4시,오후 중반엔 집중력이 분산됩니다. 새로운 시작보다 오전에 한 것 마무리에 집중하시기 바랍니다.
ox,소띠,갑자기 계획이 바뀌는 상황이 오늘 생길 수 있습니다. 소띠한테는 그게 생각보다 많이 불편하습니다. 그래도 일단 들어보시기 바랍니다. 처음엔 싫어도 나중에 더 나은 방향이었던 적 꽤 있었을 것입니다.,오전 10시~낮 12시,소띠는 오전 중반에 몰입력이 최고예요. 복잡한 업무는 이 시간에 처리하시기 바랍니다.,오후 1시~3시,점심 후엔 에너지가 잠깐 내려갑니다. 가벼운 작업으로 속도를 조절하시기 바랍니다.
ox,소띠,"오늘 좋아하는 음식을 제대로 먹는 게 실제로 기분을 올려줘요. 소띠는 먹는 것에서 에너지를 채우는 타입인데, 오늘 점심은 편의점 대신 제대로 된 한 끼가 맞습니다.",오전 10시~낮 12시,소띠는 오전 중반에 몰입력이 최고예요. 복잡한 업무는 이 시간에 처리하시기 바랍니다.,오후 1시~3시,점심 후엔 에너지가 잠깐 내려갑니다. 가벼운 작업으로 속도를 조절하시기 바랍니다.
ox,소띠,꼼꼼하게 검토하는 소띠의 능력이 오늘 빛나는 날입니다. 남들이 급하게 넘어간 부분에서 중요한 걸 잡아낼 수 있습니다. 서두르지 않는 게 오늘의 강점입니다.,오전 10시~낮 12시,소띠는 오전 중반에 몰입력이 최고예요. 복잡한 업무는 이 시간에 처리하시기 바랍니다.,오후 1시~3시,점심 후엔 에너지가 잠깐 내려갑니다. 가벼운 작업으로 속도를 조절하시기 바랍니다.
ox,소띠,오늘 빠른 결정을 요구받는 상황이 생겨도 '확인하고 연락드릴게요'가 가장 현명한 대답입니다. 소띠는 충분히 생각해야 후회가 없는 타입입니다.,오전 10시~낮 12시,소띠는 오전 중반에 몰입력이 최고예요. 복잡한 업무는 이 시간에 처리하시기 바랍니다.,오후 1시~3시,점심 후엔 에너지가 잠깐 내려갑니다. 가벼운 작업으로 속도를 조절하시기 바랍니다.
ox,소띠,한 번 시작한 건 끝까지 가는 소띠의 기질이 오늘 결과물을 만들어내요. 오전에 미뤄두던 것 하나만 시작하시기 바랍니다. 시작만 하면 끝까지 가는 타입입니다.,오전 10시~낮 12시,소띠는 오전 중반에 몰입력이 최고예요. 복잡한 업무는 이 시간에 처리하시기 바랍니다.,오후 1시~3시,점심 후엔 에너지가 잠깐 내려갑니다. 가벼운 작업으로 속도를 조절하시기 바랍니다.
ox,소띠,"오늘 감정을 억누르다가 엉뚱한 데서 터질 수 있습니다. 소띠는 쌓아두는 타입인데, 가까운 사람과 10분 대화가 오늘 밸브 역할을 해줘요.",오전 10시~낮 12시,소띠는 오전 중반에 몰입력이 최고예요. 복잡한 업무는 이 시간에 처리하시기 바랍니다.,오후 1시~3시,점심 후엔 에너지가 잠깐 내려갑니다. 가벼운 작업으로 속도를 조절하시기 바랍니다.
ox,소띠,남들 보기엔 느리지만 가장 튼튼하게 가고 있습니다. 소띠의 페이스가 맞는 날입니다. 주변 속도에 흔들리지 마시기 바랍니다.,오전 10시~낮 12시,소띠는 오전 중반에 몰입력이 최고예요. 복잡한 업무는 이 시간에 처리하시기 바랍니다.,오후 1시~3시,점심 후엔 에너지가 잠깐 내려갑니다. 가벼운 작업으로 속도를 조절하시기 바랍니다.
ox,소띠,"오늘 고집이 세지는 날입니다. 소띠는 맞다고 생각하면 끝까지 가는 타입인데, 오늘은 상대 말의 50%는 맞을 수 있다는 전제로 들어보시기 바랍니다.",오전 10시~낮 12시,소띠는 오전 중반에 몰입력이 최고예요. 복잡한 업무는 이 시간에 처리하시기 바랍니다.,오후 1시~3시,점심 후엔 에너지가 잠깐 내려갑니다. 가벼운 작업으로 속도를 조절하시기 바랍니다.
ox,소띠,"오늘 규칙이나 약속이 어긋나는 상황에 예민하게 반응할 수 있습니다. 소띠는 원칙을 중시하는 타입인데, 오늘은 그 원칙을 유연하게 가져가는 연습이 필요합니다.",오전 10시~낮 12시,소띠는 오전 중반에 몰입력이 최고예요. 복잡한 업무는 이 시간에 처리하시기 바랍니다.,오후 1시~3시,점심 후엔 에너지가 잠깐 내려갑니다. 가벼운 작업으로 속도를 조절하시기 바랍니다.
ox,소띠,"충동구매가 위험한 날입니다. 소띠는 한 번 꽂히면 사는 타입인데, 카트에 담아두고 3일 후에 다시 보시기 바랍니다. 그때도 필요하면 그게 진짜 필요한 것입니다.",오전 10시~낮 12시,소띠는 오전 중반에 몰입력이 최고예요. 복잡한 업무는 이 시간에 처리하시기 바랍니다.,오후 1시~3시,점심 후엔 에너지가 잠깐 내려갑니다. 가벼운 작업으로 속도를 조절하시기 바랍니다.
ox,소띠,"오늘 몸이 무거운 느낌이 든다면 스트레칭 10분이 답입니다. 소띠는 규칙적인 몸 관리가 컨디션을 유지하는 타입인데, 가벼운 움직임 하나가 오후를 살려줘요.",오전 10시~낮 12시,소띠는 오전 중반에 몰입력이 최고예요. 복잡한 업무는 이 시간에 처리하시기 바랍니다.,오후 1시~3시,점심 후엔 에너지가 잠깐 내려갑니다. 가벼운 작업으로 속도를 조절하시기 바랍니다.
ox,소띠,"신뢰하는 사람에게 솔직하게 털어놓는 게 생각보다 가볍게 만들어줘요. 소띠는 혼자 끌어안는 타입인데, 한 사람에게 꺼내놓는 것만으로 달라져요.",오전 10시~낮 12시,소띠는 오전 중반에 몰입력이 최고예요. 복잡한 업무는 이 시간에 처리하시기 바랍니다.,오후 1시~3시,점심 후엔 에너지가 잠깐 내려갑니다. 가벼운 작업으로 속도를 조절하시기 바랍니다.
ox,소띠,오늘 오래된 습관이 발목을 잡을 수 있습니다. 해오던 방식이 지금도 맞는지 한 번만 점검해보시기 바랍니다. 소띠는 바꾸기 싫어하는 타입이지만 오늘은 그 점검이 필요합니다.,오전 10시~낮 12시,소띠는 오전 중반에 몰입력이 최고예요. 복잡한 업무는 이 시간에 처리하시기 바랍니다.,오후 1시~3시,점심 후엔 에너지가 잠깐 내려갑니다. 가벼운 작업으로 속도를 조절하시기 바랍니다.
ox,소띠,"오늘 새로운 방식을 딱 하나만 시도해보시기 바랍니다. 소띠는 검증된 방법을 선호하지만, 오늘의 작은 실험이 다음 달의 더 나은 방법이 됩니다.",오전 10시~낮 12시,소띠는 오전 중반에 몰입력이 최고예요. 복잡한 업무는 이 시간에 처리하시기 바랍니다.,오후 1시~3시,점심 후엔 에너지가 잠깐 내려갑니다. 가벼운 작업으로 속도를 조절하시기 바랍니다.
